                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.96449,                 1.0089,                 1.4339,                0.83727,                0.78458,                0.82834,                0.51544,                 1.2299,                 1.0491,                 1.6464,              0.0013664,              0.0013664,              0.0013664
                     35,                 0.9509,                 1.0175,                 1.4264,                 0.8503,                0.76255,                0.83844,                0.52242,                 1.2052,                 1.0097,                  1.638,              0.0013466,              0.0013466,              0.0013466
                     36,                 0.9503,                0.99496,                 1.4199,                0.81179,                0.70743,                0.78449,                0.47657,                 1.2138,                 1.1833,                 1.6487,              0.0013268,              0.0013268,              0.0013268
                     37,                0.93945,                 0.9776,                 1.4148,                0.80612,                0.70624,                0.78249,                0.43409,                 1.3408,                  1.236,                 1.7817,               0.001307,               0.001307,               0.001307
                     38,                0.94093,                0.99343,                 1.4101,                0.79841,                0.75275,                0.82062,                0.49796,                 1.2313,                 1.1159,                  1.644,              0.0012872,              0.0012872,              0.0012872
                     39,                0.93261,                0.99521,                 1.4105,                0.83742,                0.77601,                0.83521,                0.50423,                 1.2388,                 1.0295,                  1.653,              0.0012674,              0.0012674,              0.0012674
                     40,                0.93859,                 0.9554,                 1.4083,                 0.8407,                0.78164,                0.84272,                0.52955,                 1.2019,                0.96805,                 1.6283,              0.0012476,              0.0012476,              0.0012476
                     41,                 0.9288,                0.99199,                 1.4036,                0.84821,                0.73186,                  0.799,                 0.4831,                  1.239,                 1.1242,                  1.728,              0.0012278,              0.0012278,              0.0012278
                     42,                0.93989,                0.98135,                 1.4062,                0.81107,                0.79192,                0.83114,                0.50774,                   1.25,                 1.0817,                 1.7061,               0.001208,               0.001208,               0.001208
                     43,                0.93232,                 0.9609,                 1.4075,                0.85009,                0.81151,                  0.855,                0.54027,                 1.1522,                      1,                 1.5793,              0.0011882,              0.0011882,              0.0011882
                     44,                0.91627,                0.94336,                 1.3912,                0.87581,                0.83109,                 0.8749,                0.55594,                 1.1801,                 0.9563,                 1.6153,              0.0011684,              0.0011684,              0.0011684
                     45,                0.91174,                0.93052,                 1.3971,                0.83327,                0.75398,                0.82593,                0.52125,                 1.1599,                 1.0654,                 1.6264,              0.0011486,              0.0011486,              0.0011486
                     46,                0.89862,                0.92292,                 1.3825,                0.85013,                0.80539,                0.86522,                  0.554,                 1.1625,                0.95081,                  1.584,              0.0011288,              0.0011288,              0.0011288
                     47,                0.89717,                0.92639,                 1.3831,                0.85402,                0.78703,                0.85537,                0.52211,                 1.2607,                0.99899,                 1.6801,               0.001109,               0.001109,               0.001109
                     48,                0.90096,                0.92738,                 1.3777,                0.82259,                0.80294,                 0.8302,                0.50166,                 1.2227,                 1.0152,                  1.663,              0.0010892,              0.0010892,              0.0010892
                     49,                0.90287,                0.91533,                 1.3776,                0.85063,                0.76676,                0.83702,                0.51316,                 1.2236,                 1.0549,                 1.6641,              0.0010694,              0.0010694,              0.0010694
                     50,                0.88059,                0.88767,                 1.3645,                0.85123,                0.74937,                0.82498,                0.51346,                 1.2215,                 1.0511,                 1.6891,              0.0010496,              0.0010496,              0.0010496
                     51,                0.89757,                0.89041,                 1.3725,                 0.8474,                0.76867,                0.83945,                 0.5041,                 1.2596,                 1.0422,                 1.6836,              0.0010298,              0.0010298,              0.0010298
                     52,                0.88512,                0.89942,                 1.3701,                0.87571,                 0.8213,                0.87412,                0.54963,                 1.1841,                0.91983,                 1.6283,                0.00101,                0.00101,                0.00101
                     53,                0.87315,                0.86705,                  1.361,                 0.8609,                0.78029,                0.85888,                0.54716,                 1.1853,                0.95233,                 1.6094,              0.0009902,              0.0009902,              0.0009902
