                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0882,                0.97305,                 1.4664,                0.82842,                 0.8187,                0.87504,                0.53212,                 1.3478,                0.94487,                 1.8444,              0.0096832,              0.0096832,              0.0096832
                     35,                 1.0663,                0.96807,                 1.4609,                0.85049,                0.78999,                0.86737,                0.52232,                 1.3623,                0.96157,                 1.8817,              0.0096733,              0.0096733,              0.0096733
                     36,                 1.0867,                0.95966,                 1.4702,                0.85795,                0.80263,                0.87185,                0.53167,                  1.354,                0.88706,                  1.886,              0.0096634,              0.0096634,              0.0096634
                     37,                 1.0579,                0.93714,                 1.4544,                0.85327,                0.84436,                0.89316,                0.55245,                 1.3527,                0.84442,                 1.8551,              0.0096535,              0.0096535,              0.0096535
                     38,                 1.0833,                0.95197,                   1.47,                0.85619,                0.81952,                 0.8835,                0.55442,                 1.3457,                 0.8713,                 1.8341,              0.0096436,              0.0096436,              0.0096436
                     39,                 1.0501,                0.93154,                 1.4511,                0.85243,                0.82116,                0.88417,                0.54693,                 1.3332,                0.87741,                 1.8227,              0.0096337,              0.0096337,              0.0096337
                     40,                 1.0454,                0.91663,                 1.4403,                0.82602,                0.80394,                0.86338,                0.52756,                 1.3778,                 0.9157,                 1.8781,              0.0096238,              0.0096238,              0.0096238
                     41,                 1.0672,                0.92695,                 1.4578,                0.85313,                0.81962,                0.86175,                 0.5336,                 1.3629,                0.89264,                 1.8834,              0.0096139,              0.0096139,              0.0096139
                     42,                 1.0422,                0.91162,                 1.4391,                 0.8466,                0.80133,                0.86888,                0.53598,                 1.3563,                0.91592,                 1.8696,               0.009604,               0.009604,               0.009604
                     43,                 1.0494,                0.93149,                  1.441,                0.86353,                0.81494,                0.87873,                0.54944,                 1.3228,                0.86087,                 1.8446,              0.0095941,              0.0095941,              0.0095941
                     44,                 1.0385,                0.90403,                 1.4271,                0.84913,                0.79902,                0.85208,                0.52412,                 1.3714,                0.85789,                 1.8799,              0.0095842,              0.0095842,              0.0095842
                     45,                 1.0312,                 0.8843,                 1.4252,                0.82228,                0.85808,                0.87954,                0.55755,                 1.3364,                0.85729,                 1.8594,              0.0095743,              0.0095743,              0.0095743
                     46,                 1.0217,                0.90224,                  1.417,                0.85703,                0.81542,                0.88209,                0.54062,                 1.3624,                0.84472,                 1.8651,              0.0095644,              0.0095644,              0.0095644
                     47,                 1.0288,                0.89851,                 1.4221,                0.83756,                 0.8146,                0.87211,                0.53693,                 1.3644,                0.88046,                 1.8742,              0.0095545,              0.0095545,              0.0095545
                     48,                 1.0264,                0.88498,                 1.4173,                0.85053,                0.82281,                0.87561,                0.54696,                 1.3261,                0.82758,                 1.8287,              0.0095446,              0.0095446,              0.0095446
                     49,                 1.0122,                0.87455,                 1.4164,                0.84794,                0.82691,                0.87465,                0.54172,                  1.356,                0.84268,                 1.8972,              0.0095347,              0.0095347,              0.0095347
                     50,                  1.011,                0.88704,                 1.4238,                   0.84,                0.83921,                0.87302,                0.55262,                 1.3216,                0.85418,                 1.8375,              0.0095248,              0.0095248,              0.0095248
                     51,                 1.0026,                0.86734,                 1.4075,                0.83995,                0.84815,                 0.8796,                0.54362,                 1.3631,                0.84587,                 1.8577,              0.0095149,              0.0095149,              0.0095149
                     52,                 1.0038,                0.87554,                 1.4082,                 0.8457,                0.84988,                0.87971,                0.54378,                 1.3409,                0.82707,                 1.8522,               0.009505,               0.009505,               0.009505
                     53,                 1.0036,                0.87139,                  1.408,                0.85226,                0.81397,                0.86692,                 0.5429,                 1.3245,                0.87072,                 1.8454,              0.0094951,              0.0094951,              0.0094951
                     54,                0.99935,                0.83811,                 1.3994,                0.85169,                0.82199,                0.88053,                0.54568,                 1.3627,                0.83383,                 1.8738,              0.0094852,              0.0094852,              0.0094852
                     55,                0.99372,                0.84485,                 1.3979,                0.85681,                0.83265,                0.89329,                0.56405,                 1.3169,                 0.8332,                 1.8144,              0.0094753,              0.0094753,              0.0094753
                     56,                0.98918,                0.84942,                 1.3977,                0.85694,                0.84413,                0.86801,                0.54853,                 1.3184,                0.83405,                 1.8246,              0.0094654,              0.0094654,              0.0094654
                     57,                0.98811,                0.85702,                 1.3895,                0.85403,                0.82555,                0.88641,                0.56066,                 1.3146,                0.78974,                 1.8036,              0.0094555,              0.0094555,              0.0094555
                     58,                0.97185,                0.83404,                  1.387,                0.87344,                0.82656,                0.88433,                0.55796,                 1.3394,                0.83459,                 1.8339,              0.0094456,              0.0094456,              0.0094456
                     59,                0.98509,                0.83903,                 1.3911,                0.87562,                0.81429,                0.89546,                0.56924,                 1.2852,                0.82127,                 1.7921,              0.0094357,              0.0094357,              0.0094357
                     60,                0.97829,                0.84094,                  1.384,                0.85486,                 0.8504,                0.89254,                 0.5651,                 1.3001,                0.78367,                 1.7924,              0.0094258,              0.0094258,              0.0094258
                     61,                0.97059,                0.82404,                 1.3861,                0.86426,                 0.8409,                  0.894,                0.56845,                 1.3256,                0.78656,                 1.8193,              0.0094159,              0.0094159,              0.0094159
                     62,                0.97315,                0.82152,                 1.3816,                 0.8559,                0.82937,                0.88381,                0.55848,                 1.3143,                0.81904,                  1.837,               0.009406,               0.009406,               0.009406
                     63,                0.96173,                0.83876,                 1.3742,                0.85033,                 0.8529,                0.89218,                0.56425,                 1.3003,                0.79651,                 1.7828,              0.0093961,              0.0093961,              0.0093961
                     64,                0.97047,                0.82643,                 1.3829,                0.86762,                0.83101,                0.88144,                0.56237,                 1.3009,                 0.8168,                 1.8056,              0.0093862,              0.0093862,              0.0093862
                     65,                0.97419,                0.81427,                 1.3811,                0.88458,                0.82358,                0.89559,                0.57032,                 1.2981,                0.81787,                 1.8059,              0.0093763,              0.0093763,              0.0093763
                     66,                0.96508,                0.82412,                 1.3769,                0.87476,                0.84742,                0.89785,                0.56463,                 1.3123,                0.78313,                 1.8262,              0.0093664,              0.0093664,              0.0093664
                     67,                0.94753,                0.80796,                 1.3644,                0.85492,                0.85567,                0.90016,                0.56247,                 1.3127,                0.77438,                 1.8329,              0.0093565,              0.0093565,              0.0093565
                     68,                0.95072,                0.79815,                 1.3671,                0.85555,                0.83511,                 0.8813,                0.56159,                 1.3261,                0.79409,                 1.8536,              0.0093466,              0.0093466,              0.0093466
                     69,                0.95302,                0.79476,                 1.3653,                0.87615,                0.84331,                0.90398,                0.57047,                 1.3202,                0.76487,                 1.8308,              0.0093367,              0.0093367,              0.0093367
                     70,                 0.9464,                 0.7945,                 1.3659,                0.85035,                0.85768,                0.88941,                0.55585,                 1.3191,                0.79871,                 1.8285,              0.0093268,              0.0093268,              0.0093268
                     71,                0.93276,                0.80251,                 1.3521,                0.86472,                0.84495,                0.89364,                0.57331,                 1.2886,                0.76293,                 1.8017,              0.0093169,              0.0093169,              0.0093169
                     72,                0.94433,                0.78757,                 1.3624,                0.89377,                0.81542,                0.89955,                0.57819,                 1.2946,                0.77817,                 1.7968,               0.009307,               0.009307,               0.009307
                     73,                0.94165,                0.79544,                 1.3617,                0.86324,                0.85644,                0.89768,                0.57544,                 1.2792,                0.77927,                 1.7912,              0.0092971,              0.0092971,              0.0092971
                     74,                0.93718,                0.77743,                  1.354,                0.86634,                0.86382,                0.90267,                0.57715,                 1.3032,                0.76579,                 1.8184,              0.0092872,              0.0092872,              0.0092872
                     75,                0.93181,                 0.7847,                 1.3534,                0.86979,                 0.8466,                0.89488,                0.57621,                 1.2734,                0.79956,                  1.777,              0.0092773,              0.0092773,              0.0092773
                     76,                0.93159,                0.78375,                  1.352,                0.87701,                0.84817,                0.89482,                0.57458,                 1.2741,                0.74934,                 1.7874,              0.0092674,              0.0092674,              0.0092674
                     77,                0.93769,                0.77377,                 1.3542,                0.87252,                0.84331,                0.89009,                0.57767,                 1.2912,                0.77151,                 1.8285,              0.0092575,              0.0092575,              0.0092575
                     78,                0.92259,                0.78096,                 1.3416,                0.89431,                0.83757,                0.89523,                0.56101,                 1.3333,                0.79435,                 1.8682,              0.0092476,              0.0092476,              0.0092476
                     79,                0.92083,                0.78523,                 1.3488,                0.87209,                0.84003,                0.89264,                0.57064,                 1.2851,                0.76511,                 1.8126,              0.0092377,              0.0092377,              0.0092377
                     80,                0.91197,                0.76626,                 1.3402,                0.86844,                0.84578,                0.89577,                0.56488,                 1.2948,                0.79108,                 1.8184,              0.0092278,              0.0092278,              0.0092278
                     81,                0.90801,                0.76648,                 1.3336,                0.86736,                0.84761,                 0.8953,                0.56893,                 1.2791,                0.77818,                 1.7915,              0.0092179,              0.0092179,              0.0092179
                     82,                0.90105,                0.76408,                 1.3311,                0.85066,                0.85979,                0.89935,                0.58198,                 1.2798,                0.73856,                 1.8222,               0.009208,               0.009208,               0.009208
                     83,                0.91171,                0.76268,                 1.3371,                0.86779,                0.84824,                0.89361,                 0.5789,                 1.2861,                0.75838,                 1.8161,              0.0091981,              0.0091981,              0.0091981
                     84,                0.90587,                0.75733,                 1.3282,                0.85587,                0.85247,                0.89633,                0.58712,                 1.2548,                0.75905,                 1.7762,              0.0091882,              0.0091882,              0.0091882
                     85,                 0.9105,                0.76325,                 1.3392,                0.86243,                0.85972,                0.89308,                0.56753,                 1.2897,                 0.7579,                 1.8164,              0.0091783,              0.0091783,              0.0091783
                     86,                0.88747,                 0.7391,                 1.3135,                0.88268,                 0.8548,                0.90625,                0.57315,                 1.2838,                0.75587,                 1.7976,              0.0091684,              0.0091684,              0.0091684
                     87,                0.89396,                0.73457,                 1.3153,                 0.8788,                0.83757,                0.89693,                 0.5855,                 1.2879,                0.76067,                 1.7972,              0.0091585,              0.0091585,              0.0091585
                     88,                0.89552,                0.74213,                 1.3286,                0.85573,                0.86792,                0.88752,                0.56991,                 1.2996,                0.75883,                 1.8285,              0.0091486,              0.0091486,              0.0091486
                     89,                0.90286,                0.75405,                 1.3345,                0.87376,                0.86218,                0.89529,                0.57153,                 1.3008,                0.75598,                 1.8177,              0.0091387,              0.0091387,              0.0091387
                     90,                0.89732,                0.74305,                 1.3271,                0.87406,                0.86537,                0.88204,                0.56394,                 1.2816,                0.76489,                 1.8037,              0.0091288,              0.0091288,              0.0091288
                     91,                0.88949,                0.73657,                 1.3158,                0.87337,                0.86628,                0.89078,                0.56832,                 1.2742,                0.74402,                 1.8192,              0.0091189,              0.0091189,              0.0091189
                     92,                0.88332,                0.73299,                 1.3162,                0.86991,                0.86676,                0.89953,                 0.5782,                 1.2847,                0.74333,                 1.8224,               0.009109,               0.009109,               0.009109
                     93,                 0.8838,                0.73469,                 1.3123,                0.86503,                0.84578,                0.88778,                0.57912,                 1.2748,                0.77859,                 1.8204,              0.0090991,              0.0090991,              0.0090991
                     94,                0.87554,                0.72918,                 1.3113,                0.89149,                0.84923,                0.90177,                0.58307,                 1.2842,                0.75473,                 1.7879,              0.0090892,              0.0090892,              0.0090892
                     95,                0.88315,                0.74055,                 1.3151,                0.89008,                0.85693,                0.90814,                0.58307,                 1.2706,                0.72748,                 1.8012,              0.0090793,              0.0090793,              0.0090793
                     96,                0.87646,                0.74358,                 1.3153,                0.87803,                0.84906,                 0.8949,                 0.5782,                 1.2745,                0.74193,                 1.8021,              0.0090694,              0.0090694,              0.0090694
                     97,                0.89406,                0.73727,                 1.3228,                0.88696,                0.84322,                 0.8955,                0.58156,                  1.287,                0.73171,                  1.815,              0.0090595,              0.0090595,              0.0090595
                     98,                 0.8741,                0.71828,                  1.313,                 0.8689,                0.86546,                0.89383,                0.58116,                 1.2726,                0.74678,                 1.8024,              0.0090496,              0.0090496,              0.0090496
                     99,                0.87811,                0.73509,                 1.3111,                0.87058,                 0.8664,                 0.8995,                0.58563,                 1.2682,                0.75063,                 1.7939,              0.0090397,              0.0090397,              0.0090397
                    100,                 0.8762,                0.72692,                 1.3069,                0.86591,                0.86464,                0.90323,                0.58806,                 1.2683,                  0.728,                 1.7995,              0.0090298,              0.0090298,              0.0090298
