                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1446,                 2.3405,                 1.5927,                0.64951,                0.65993,                0.66917,                0.35549,                 1.3055,                 2.4165,                 1.7568,              0.0033099,              0.0033099,              0.0033099
                      2,                 1.1387,                  1.717,                 1.5476,                 0.6162,                  0.633,                0.64497,                0.32497,                 1.4753,                 1.8805,                 2.0497,              0.0065774,              0.0065774,              0.0065774
                      3,                 1.2295,                 1.5715,                 1.6232,                0.40413,                0.57912,                0.32686,                0.13059,                  2.135,                 2.2583,                 3.1433,               0.009779,               0.009779,               0.009779
                      4,                 1.2899,                 1.5434,                 1.6653,                0.44872,                0.46016,                0.40833,                0.14278,                 2.1301,                 2.1671,                 2.4983,               0.009703,               0.009703,               0.009703
                      5,                 1.2422,                 1.4625,                 1.6348,                0.55383,                0.65264,                 0.5773,                0.29039,                 1.7123,                 1.7604,                 2.3125,               0.009703,               0.009703,               0.009703
                      6,                 1.2028,                 1.3903,                 1.6065,                0.58074,                0.67284,                 0.6297,                0.31518,                 1.5568,                 1.5206,                 2.2272,               0.009604,               0.009604,               0.009604
                      7,                 1.1691,                 1.3406,                 1.5823,                0.70027,                0.67957,                 0.7421,                0.40214,                 1.4616,                 1.3443,                 1.8494,               0.009505,               0.009505,               0.009505
                      8,                 1.1511,                 1.3135,                 1.5672,                  0.664,                0.67228,                0.73313,                0.38853,                 1.4291,                 1.3676,                 1.8589,               0.009406,               0.009406,               0.009406
                      9,                 1.1242,                 1.2778,                 1.5367,                0.66686,                0.69697,                0.73392,                0.41346,                 1.3619,                 1.3082,                 1.7488,               0.009307,               0.009307,               0.009307
                     10,                 1.1102,                 1.2457,                 1.5262,                0.70156,                0.71156,                0.75851,                0.42769,                 1.4183,                 1.3431,                 1.7895,               0.009208,               0.009208,               0.009208
                     11,                 1.0796,                 1.2263,                 1.5111,                0.71017,                0.72783,                0.76685,                0.43207,                 1.4039,                  1.349,                 1.8203,               0.009109,               0.009109,               0.009109
                     12,                 1.0815,                  1.196,                 1.5083,                0.66606,                0.77229,                0.74684,                0.44124,                 1.3321,                 1.3248,                 1.7295,                0.00901,                0.00901,                0.00901
                     13,                  1.067,                 1.1695,                 1.5011,                0.70129,                 0.7312,                0.75579,                0.43427,                 1.3905,                 1.2391,                 1.8291,               0.008911,               0.008911,               0.008911
                     14,                 1.0462,                 1.1646,                  1.479,                0.70852,                0.75571,                0.80875,                 0.4718,                 1.2752,                 1.1443,                 1.6561,               0.008812,               0.008812,               0.008812
                     15,                 1.0339,                 1.1473,                 1.4732,                0.73314,                0.71687,                0.78634,                 0.4597,                 1.2924,                 1.1859,                  1.707,               0.008713,               0.008713,               0.008713
                     16,                 1.0365,                 1.1465,                 1.4733,                0.72567,                0.74523,                0.78711,                0.45844,                 1.3421,                 1.1868,                 1.7133,               0.008614,               0.008614,               0.008614
                     17,                  1.016,                 1.1225,                 1.4581,                0.74764,                0.76477,                0.81191,                0.48788,                 1.3108,                 1.0688,                 1.6998,               0.008515,               0.008515,               0.008515
                     18,                 1.0109,                 1.1027,                 1.4504,                0.73856,                0.75758,                0.80327,                0.48784,                 1.2466,                 1.1229,                 1.6675,               0.008416,               0.008416,               0.008416
                     19,                 1.0111,                  1.101,                  1.452,                0.72705,                0.77946,                0.82365,                 0.5073,                 1.2299,                 1.0562,                 1.6401,               0.008317,               0.008317,               0.008317
                     20,                0.99272,                 1.0987,                 1.4322,                0.73619,                0.79798,                0.79995,                0.48857,                 1.2427,                 1.0937,                 1.6764,               0.008218,               0.008218,               0.008218
                     21,                0.99062,                 1.0795,                 1.4368,                0.74928,                0.75477,                0.82718,                0.50784,                 1.2104,                 1.0831,                 1.5989,               0.008119,               0.008119,               0.008119
                     22,                0.99061,                 1.0713,                 1.4296,                0.73388,                 0.7991,                0.81046,                0.49848,                 1.2714,                 1.0745,                 1.6724,                0.00802,                0.00802,                0.00802
                     23,                0.97903,                 1.0412,                 1.4217,                0.78817,                 0.7312,                0.83039,                 0.4856,                 1.2774,                  1.064,                 1.6437,               0.007921,               0.007921,               0.007921
                     24,                0.97096,                 1.0465,                 1.4175,                0.74209,                0.78395,                0.82312,                0.51244,                 1.2481,                 1.0602,                 1.6461,               0.007822,               0.007822,               0.007822
                     25,                 0.9669,                 1.0353,                 1.4114,                0.78091,                0.75365,                0.84296,                0.49945,                 1.2898,                 1.0588,                 1.6622,               0.007723,               0.007723,               0.007723
                     26,                0.95856,                  1.034,                 1.4049,                 0.7928,                 0.7587,                0.84152,                0.52303,                 1.2077,                 1.0284,                 1.5913,               0.007624,               0.007624,               0.007624
                     27,                0.95631,                 1.0065,                 1.3999,                0.79864,                0.76599,                0.85098,                0.51296,                 1.2515,                 1.0252,                 1.6427,               0.007525,               0.007525,               0.007525
                     28,                0.94211,                 1.0115,                 1.3897,                0.79248,                0.75864,                0.84141,                0.50679,                 1.2652,                 1.0699,                 1.6549,               0.007426,               0.007426,               0.007426
                     29,                0.93698,                 1.0014,                 1.3899,                0.74062,                0.81033,                0.82643,                0.52224,                 1.2229,                 1.0154,                 1.6197,               0.007327,               0.007327,               0.007327
                     30,                0.92612,                0.98795,                 1.3793,                0.79481,                0.77104,                0.84439,                0.51902,                 1.2288,                 1.0109,                 1.5909,               0.007228,               0.007228,               0.007228
                     31,                   0.92,                0.98301,                 1.3731,                0.78213,                0.78568,                0.85052,                0.52275,                 1.2438,                 0.9852,                 1.6234,               0.007129,               0.007129,               0.007129
                     32,                0.91926,                0.97222,                 1.3738,                0.80437,                0.77758,                0.85079,                0.53369,                 1.2119,                  1.012,                 1.6292,                0.00703,                0.00703,                0.00703
                     33,                0.91634,                0.96549,                 1.3659,                0.78379,                0.78526,                0.84913,                0.53049,                 1.2296,                 1.0192,                 1.6114,               0.006931,               0.006931,               0.006931
                     34,                0.91027,                0.94889,                 1.3616,                0.79914,                0.77441,                0.85921,                0.53081,                 1.2335,                0.94672,                 1.6307,               0.006832,               0.006832,               0.006832
                     35,                0.90705,                 0.9488,                 1.3551,                0.80801,                0.77699,                0.84909,                 0.5157,                 1.2581,                 1.0163,                 1.6416,               0.006733,               0.006733,               0.006733
                     36,                0.90084,                 0.9366,                 1.3567,                0.80491,                0.81538,                0.85048,                0.54089,                 1.2232,                0.94721,                 1.6116,               0.006634,               0.006634,               0.006634
                     37,                0.89329,                0.92178,                 1.3486,                0.81818,                0.74467,                0.85492,                0.52271,                 1.2581,                0.96541,                 1.6383,               0.006535,               0.006535,               0.006535
                     38,                 0.8908,                0.94242,                 1.3489,                0.78775,                0.78844,                0.86008,                0.53821,                 1.2164,                0.94004,                 1.6227,               0.006436,               0.006436,               0.006436
                     39,                 0.8756,                0.91393,                 1.3375,                0.81288,                0.79237,                0.86345,                0.54638,                 1.2277,                0.95087,                  1.612,               0.006337,               0.006337,               0.006337
                     40,                0.89025,                0.92016,                 1.3445,                0.80193,                0.81201,                0.86093,                0.54469,                 1.2113,                0.95322,                 1.5765,               0.006238,               0.006238,               0.006238
                     41,                0.88255,                0.89918,                 1.3391,                0.81419,                0.78956,                0.87166,                0.53422,                 1.2345,                0.93843,                  1.622,               0.006139,               0.006139,               0.006139
                     42,                0.86996,                0.89632,                 1.3297,                0.80432,                0.80864,                0.86509,                0.54422,                 1.1926,                0.97151,                 1.5877,                0.00604,                0.00604,                0.00604
                     43,                0.86268,                  0.903,                 1.3249,                0.81979,                  0.789,                0.87029,                0.55416,                  1.197,                0.93314,                 1.6021,               0.005941,               0.005941,               0.005941
