                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3791,                 2.5997,                 1.7667,                0.78263,                0.34126,                0.53866,                0.24767,                  1.517,                 3.5517,                 2.0971,              0.0032911,              0.0032911,              0.0032911
                      2,                 1.2711,                 1.8207,                 1.6413,                0.54912,                0.59345,                0.47494,                0.21468,                  1.775,                 2.2162,                 2.6028,              0.0066238,              0.0066238,              0.0066238
                      3,                 1.3762,                 1.6809,                 1.7281,                0.21712,                0.33224,                0.12922,                0.03619,                  2.609,                 3.4857,                 4.8578,              0.0099558,              0.0099558,              0.0099558
                      4,                 1.4951,                 1.6794,                 1.8251,                0.14217,                0.42822,                0.09905,                0.02835,                 2.6501,                 3.4086,                  4.842,               0.009997,               0.009997,               0.009997
                      5,                 1.4685,                 1.6161,                 1.8006,                0.44016,                0.41263,                0.35073,                0.12735,                 2.1637,                  2.149,                 2.7955,               0.009997,               0.009997,               0.009997
                      6,                 1.3946,                 1.5058,                 1.7326,                0.59173,                0.51928,                0.53581,                0.22669,                 1.9173,                 2.1286,                 2.6561,               0.009996,               0.009996,               0.009996
                      7,                 1.3729,                 1.4573,                 1.7176,                 0.6365,                0.67186,                0.65902,                0.31909,                 1.7624,                 1.4534,                 2.4059,              0.0099951,              0.0099951,              0.0099951
                      8,                 1.3493,                 1.3931,                 1.6893,                0.64353,                0.58737,                0.61667,                0.29024,                 1.7869,                 1.7112,                 2.4475,              0.0099941,              0.0099941,              0.0099941
                      9,                 1.3238,                 1.3704,                 1.6774,                0.61084,                0.53565,                0.58651,                0.28033,                 1.7885,                 1.6865,                  2.393,              0.0099931,              0.0099931,              0.0099931
                     10,                 1.3009,                 1.3128,                 1.6515,                0.73115,                0.70796,                0.74831,                0.36622,                 1.7403,                    1.4,                 2.2493,              0.0099921,              0.0099921,              0.0099921
